date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:15	32478/32478	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Nov%202015%2016:40:37%20GMT	http://templatecycle.com/tshop/v-1.5/white/images/site/g5.jpg	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/images/site/g5.jpg	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:16	61021/61021	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:46%20GMT	http://templatecycle.com/tshop/v-1.5/white/index4.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index4.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:16	48791/48791	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:43%20GMT	http://templatecycle.com/tshop/v-1.5/white/index-v-7.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index-v-7.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:16	53674/53674	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:48%20GMT	http://templatecycle.com/tshop/v-1.5/white/index5.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index5.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:17	38125/38125	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:48%20GMT	http://templatecycle.com/tshop/v-1.5/white/index6.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index6.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:17	60157/60157	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:31%20GMT	http://templatecycle.com/tshop/v-1.5/white/index-header2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index-header2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:17	59944/59944	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:31%20GMT	http://templatecycle.com/tshop/v-1.5/white/index-header3.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/index-header3.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:19	63140/63140	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:08%20GMT	http://templatecycle.com/tshop/v-1.5/white/sub-category.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/sub-category.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:19	49530/49530	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:37:05%20GMT	http://templatecycle.com/tshop/v-1.5/white/sidebar-shopping-cart.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/sidebar-shopping-cart.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
16:19:19	65389/65389	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Nov%202015%2016:36:20%20GMT	http://templatecycle.com/tshop/v-1.5/white/category2.html	E:/My%20Templates/TSHOP/templatecycle.com/tshop/v-1.5/white/category2.html	(from http://templatecycle.com/tshop/v-1.5/white/index.html)
